,X,Y,Size Total,Inlier Fraction,Cluster/ID,Cluster/Size,Cluster/Fraction,Cluster/Mean [x],Cluster/Std [x],Cluster/Min [x],Cluster/Max [x],Cluster/Mean [y],Cluster/Std [y],Cluster/Min [y],Cluster/Max [y]
0,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,-1,210,1.0,695828.4805812374,9.134606623191348e-09,695828.4805812192,695828.4805812608,37.9033229526552,8.13119730288289e-09,37.903322929739744,37.90332297333944
1,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,0,210,1.0,695828.4805812374,9.134606623191348e-09,695828.4805812192,695828.4805812608,37.9033229526552,8.13119730288289e-09,37.903322929739744,37.90332297333944
2,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,-1,210,1.0,5346092.637711734,2.7907431913555565e-08,5346092.63771168,5346092.637711807,37.90332295268658,8.055063808177108e-09,37.9033229363292,37.90332297333944
3,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,0,210,1.0,5346092.637711734,2.7907431913555565e-08,5346092.63771168,5346092.637711807,37.90332295268658,8.055063808177108e-09,37.9033229363292,37.90332297333944
4,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,-1,210,1.0,540.7925761668399,1.8996350179437907e-09,540.7925761619375,540.7925761706588,37.90332295268697,8.054258210383226e-09,37.903322936412714,37.90332297333944
5,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,0,210,1.0,540.7925761668399,1.8996350179437907e-09,540.7925761619375,540.7925761706588,37.90332295268697,8.054258210383226e-09,37.903322936412714,37.90332297333944
6,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,-1,210,1.0,76.70578567217042,3.1979112290159703e-09,76.70578566390908,76.7057856785726,37.90332295268697,8.054258210383226e-09,37.903322936412714,37.90332297333944
7,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,0,210,1.0,76.70578567217042,3.1979112290159703e-09,76.70578566390908,76.7057856785726,37.90332295268697,8.054258210383226e-09,37.903322936412714,37.90332297333944
8,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,-1,210,1.0,0.9160780099323216,1.1537187220029104e-09,0.9160780070191774,0.91607801221598,37.90332295268872,8.060614260932365e-09,37.9033229363292,37.90332297378933
9,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,0,210,1.0,0.9160780099323216,1.1537187220029104e-09,0.9160780070191774,0.91607801221598,37.90332295268872,8.060614260932365e-09,37.9033229363292,37.90332297378933
10,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,-1,210,1.0,-27.050050012707214,2.873377467852799e-09,-27.050050020137174,-27.05005000695858,37.90332295268698,8.054258210381972e-09,37.903322936412714,37.90332297333944
11,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,0,210,1.0,-27.050050012707214,2.873377467852799e-09,-27.050050020137174,-27.05005000695858,37.90332295268698,8.054258210381972e-09,37.903322936412714,37.90332297333944
12,Focal Length,"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,-1,210,1.0,2735.3807976092044,9.091150324435305e-07,2735.380795261377,2735.380799430609,37.90332295268697,8.054258210383226e-09,37.903322936412714,37.90332297333944
13,Focal Length,"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.84,0,210,1.0,2735.3807976092044,9.091150324435305e-07,2735.380795261377,2735.380799430609,37.90332295268697,8.054258210383226e-09,37.903322936412714,37.90332297333944
