,X,Y,Size Total,Inlier Fraction,Cluster/ID,Cluster/Size,Cluster/Fraction,Cluster/Mean [x],Cluster/Std [x],Cluster/Min [x],Cluster/Max [x],Cluster/Mean [y],Cluster/Std [y],Cluster/Min [y],Cluster/Max [y]
0,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,-1,835,1.0,695964.1748106935,8.697981266490392e-06,695964.1748094116,695964.1748748084,208.4627150646104,6.723827210689995e-06,208.4627140881184,208.46276456174388
1,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,19,835,1.0,695964.1748106935,8.697981266490392e-06,695964.1748094116,695964.1748748084,208.4627150646104,6.723827210689995e-06,208.4627140881184,208.46276456174388
2,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,-1,835,1.0,5346516.918117912,7.995367073859438e-06,5346516.9180596685,5346516.918119146,208.46271506425472,6.72387849705542e-06,208.4627140825964,208.46276456174388
3,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,0,835,1.0,5346516.918117912,7.995367073859438e-06,5346516.9180596685,5346516.918119146,208.46271506425472,6.72387849705542e-06,208.4627140825964,208.46276456174388
4,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,-1,835,1.0,539.5564666017721,0.00010153444046428688,539.5564517725638,539.5572096690416,208.46271506425222,6.723878891686379e-06,208.4627140825964,208.46276456174388
5,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,0,835,1.0,539.5564666017721,0.00010153444046428688,539.5564517725638,539.5572096690416,208.46271506425222,6.723878891686379e-06,208.4627140825964,208.46276456174388
6,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,-1,835,1.0,75.9867074423293,4.068553985177585e-05,75.98640966357854,75.98671338261326,208.46271506425197,6.723878891686386e-06,208.4627140825964,208.46276456174388
7,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,0,835,1.0,75.9867074423293,4.068553985177585e-05,75.98640966357854,75.98671338261326,208.46271506425197,6.723878891686386e-06,208.4627140825964,208.46276456174388
8,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,-1,835,1.0,0.24380617010775651,7.40119152532498e-05,0.2432646353227342,0.2438169856901143,208.46271506424793,6.723879467109922e-06,208.4627140825964,208.46276456174388
9,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,0,835,1.0,0.24380617010775651,7.40119152532498e-05,0.2432646353227342,0.2438169856901143,208.46271506424793,6.723879467109922e-06,208.4627140825964,208.46276456174388
10,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,-1,835,1.0,163.48366995010903,5.412240521832868e-07,163.48366578232364,163.48367005429608,208.46271506460394,6.723828165458411e-06,208.46271408775087,208.46276456174388
11,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",915,0.912568306010929,0,835,1.0,163.48366995010903,5.412240521832868e-07,163.48366578232364,163.48367005429608,208.46271506460394,6.723828165458411e-06,208.46271408775087,208.46276456174388
