,Stabilizer,Mean pixel displacement,Better [abs],Better [frac],Better [%],Worse [abs],Worse [frac],Worse [%]
0,Original,1.3328990234172196,1465,1.0,100.0,0,0.0,0.0
1,FAST,0.7607221861982297,1268,0.8655290102389078,86.55290102389078,197,0.13447098976109217,13.447098976109217
2,ORB,0.6425856270941538,1410,0.962457337883959,96.24573378839591,55,0.03754266211604096,3.75426621160409
3,SURF,0.6210560023498524,1446,0.9870307167235495,98.70307167235495,19,0.012969283276450527,1.2969283276450483
