,Stabilizer,Mean pixel displacement,Better [abs],Better [frac],Better [%],Worse [abs],Worse [frac],Worse [%]
0,Original,2.383064706347875,1465,1.0,100.0,0,0.0,0.0
1,FAST,1.5700934468045793,1282,0.875085324232082,87.5085324232082,183,0.12491467576791804,12.491467576791806
2,ORB,1.4190958060633885,1316,0.8982935153583618,89.82935153583618,149,0.10170648464163823,10.170648464163818
3,SURF,1.1801390581487774,1454,0.9924914675767919,99.24914675767918,11,0.007508532423208147,0.7508532423208152
