,X,Y,Size Total,Inlier Fraction,Cluster/ID,Cluster/Size,Cluster/Fraction,Cluster/Mean [x],Cluster/Std [x],Cluster/Min [x],Cluster/Max [x],Cluster/Mean [y],Cluster/Std [y],Cluster/Min [y],Cluster/Max [y]
0,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,-1,1420,1.0,695827.9303308536,0.0013447939828556568,695827.9283143863,695827.932564613,342.8122871447345,3.0415902814861866,318.5306648258492,343.72839321301745
1,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,3,1100,0.7746478873239436,695827.9305087579,0.001405047071243017,695827.9283143863,695827.9325378614,343.5824841250949,0.08676558569375213,343.3775748414373,343.72839321301745
2,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,6,71,0.05,695827.9308248769,0.0011008584574571452,695827.9300312124,695827.932564613,331.63513821338654,0.9380203481255678,330.1847803290583,332.25919025556897
3,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,10,242,0.1704225352112676,695827.9293516346,0.0002640116595992848,695827.9289349385,695827.9298561893,343.23460411461195,0.012608438286793143,343.21294762403744,343.2810513819455
4,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,-1,1420,1.0,5346090.980015944,0.0007573543353681343,5346090.979277873,5346090.983468137,343.0741263128641,2.162090155932252,330.2667371905073,343.72839321301745
5,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,0,1122,0.7901408450704225,5346090.979824196,0.00037959761947560896,5346090.979277873,5346090.980464814,343.56778356809707,0.100521184720104,342.9901792961369,343.72839321301745
6,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,1,56,0.03943661971830986,5346090.983254612,0.0005719398299425891,5346090.981571632,5346090.983468137,332.4898572343936,1.1452181889996216,330.2667371905073,335.81419011017806
7,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,2,242,0.1704225352112676,5346090.980155519,6.886614328182979e-05,5346090.980014539,5346090.980264578,343.2346041146119,0.012608438286793144,343.21294762403744,343.2810513819455
8,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,-1,1420,1.0,540.8011037069916,0.0010765104745414252,540.8008235739745,540.8065842044936,343.07813369685516,2.139041277500007,332.2211813670774,343.72839321301745
9,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",1500,0.9466666666666667,1,56,0.03943661971830986,540.8063858990847,0.0005196292592459396,540.8047274521119,540.8065842044936,332.59604430374026,1.0200971434609467,332.2211813670774,335.81419011017806
