,X,Y,Size Total,Inlier Fraction,Cluster/ID,Cluster/Size,Cluster/Fraction,Cluster/Mean [x],Cluster/Std [x],Cluster/Min [x],Cluster/Max [x],Cluster/Mean [y],Cluster/Std [y],Cluster/Min [y],Cluster/Max [y]
0,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,-1,424,1.0,695962.9370796712,1.41253686514847e-05,695962.9370501037,695962.9370978068,582.4715035311665,0.3098348646880727,581.9480202596513,582.9784047358156
1,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,0,123,0.29009433962264153,695962.9370817625,4.29005189542696e-06,695962.937073838,695962.9370880869,582.458744063398,0.10034627829044473,582.286532224948,582.6178473336176
2,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,1,161,0.37971698113207547,695962.93709342,2.7303108296164068e-06,695962.9370884064,695962.9370978068,582.8013291603638,0.10227944708828594,582.6273474742792,582.9784047358156
3,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,3,140,0.330188679245283,695962.9370620248,6.849242321248667e-06,695962.9370501037,695962.9370736446,582.1034141614165,0.09551596496925764,581.9480202596513,582.282955761008
4,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,-1,424,1.0,5346500.811639453,0.0009375766292191929,5346500.809958038,5346500.813094979,582.4715035311665,0.3098348646880727,581.9480202596513,582.9784047358156
5,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,0,123,0.29009433962264153,5346500.811644732,0.0003001577836716828,5346500.811120197,5346500.812112868,582.458744063398,0.10034627829044473,582.286532224948,582.6178473336176
6,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,1,161,0.37971698113207547,5346500.812619457,0.000278072782737937,5346500.812139853,5346500.813094979,582.8013291603638,0.10227944708828594,582.6273474742792,582.9784047358156
7,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,3,140,0.330188679245283,5346500.810507793,0.0003302098597395396,5346500.809958038,5346500.811108836,582.1034141614165,0.09551596496925764,581.9480202596513,582.282955761008
8,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,-1,424,1.0,538.2548936054619,0.00011749264632985095,538.2547023029209,538.2550928569917,582.4715035311673,0.3098348646880727,581.9480202596513,582.9784047358156
9,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,0,147,0.3466981132075472,538.254881107768,4.3509082813475586e-05,538.2548139628306,538.2549585260717,582.5033854814067,0.11479469120192448,582.299458764511,582.6808362312269
10,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,1,145,0.3419811320754717,538.2550309372118,3.8166994541383405e-05,538.2549607119929,538.2550928569917,582.10983640156,0.09981931240034923,581.9480202596513,582.293720612681
11,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,3,132,0.3113207547169811,538.2547566665015,3.146108594608823e-05,538.2547023029209,538.2548122272224,582.8332844941049,0.08386244708722203,582.6854402506351,582.9784047358156
12,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,-1,424,1.0,85.1503670498301,3.603651781567685e-05,85.15030827824057,85.15042807089294,582.4715035311673,0.3098348646880727,581.9480202596513,582.9784047358156
13,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,0,147,0.3466981132075472,85.1503632618336,1.334957506972901e-05,85.15034264839457,85.15038700142264,582.5033854814067,0.11479469120192448,582.299458764511,582.6808362312269
14,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,1,145,0.3419811320754717,85.15040915141401,1.1667226671376332e-05,85.15038767086696,85.15042807089294,582.10983640156,0.09981931240034923,581.9480202596513,582.293720612681
15,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,3,132,0.3113207547169811,85.15032502032837,9.684815551282088e-06,85.15030827824057,85.15034211489665,582.8332844941049,0.08386244708722203,582.6854402506351,582.9784047358156
16,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,-1,424,1.0,359.68563096075513,0.00042508556781610193,359.6849107015584,359.68632510564714,582.4715035311665,0.3098348646880727,581.9480202596513,582.9784047358156
17,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,0,123,0.29009433962264153,359.6856142770374,0.00013756636868307795,359.6853780118107,359.6858322587459,582.458744063398,0.10034627829044473,582.286532224948,582.6178473336176
18,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,1,161,0.37971698113207547,359.68608313905213,0.00013979718686858773,359.6858452584597,359.68632510564714,582.8013291603638,0.10227944708828594,582.6273474742792,582.9784047358156
19,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,3,140,0.330188679245283,359.6851256135498,0.00013190679071831523,359.6849107015584,359.68537309581995,582.1034141614165,0.09551596496925764,581.9480202596513,582.282955761008
20,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",504,0.8412698412698413,-1,424,1.0,167.42167377707165,2.475513746636271e-05,167.4216293024651,167.42171211167312,582.4715035311665,0.3098348646880727,581.9480202596513,582.9784047358156
