Milliseconds,Timestamp,Magnitude,Angle
1000,1000,,
2000,2000,-1.176922082901001,-0.10452950745820999
3000,3000,-0.16037455201148987,-0.9863029718399048
4000,4000,0.7336265444755554,0.9454569220542908
5000,5000,-0.33895623683929443,0.02396978996694088
6000,6000,0.055074356496334076,-1.0738617181777954
7000,7000,0.7632521986961365,0.5199636816978455
8000,8000,-0.43856221437454224,-0.2964763939380646
9000,9000,-0.7849833965301514,1.3292348384857178
10000,10000,0.28617116808891296,-1.2285016775131226
11000,11000,0.2365550845861435,2.2847766876220703
12000,12000,1.8046420812606812,-2.683743953704834
13000,13000,-1.21254301071167,2.5503461360931396
14000,14000,-0.6922011375427246,-5.115297317504883
15000,15000,-0.024960272014141083,5.778999328613281
16000,16000,0.49275827407836914,-7.495392322540283
17000,17000,-1.070507526397705,3.0279977321624756
18000,18000,-0.044112395495176315,-2.202200412750244
19000,19000,-2.160781145095825,3.3344647884368896
20000,20000,2.4589269161224365,-3.6198034286499023
21000,21000,-1.4388360977172852,5.459726333618164
22000,22000,1.086474061012268,-0.956939697265625
23000,23000,0.23089416325092316,0.6669247150421143
24000,24000,1.4077978134155273,-3.504577398300171
25000,25000,-0.09646328538656235,9.2072172164917
26000,26000,0.3030545711517334,-5.2584710121154785
