Milliseconds,Timestamp,Magnitude,Angle
1000,1000,,
2000,2000,-0.49408474564552307,0.7168453931808472
3000,3000,-0.09306265413761139,-0.9230194091796875
4000,4000,0.6338704228401184,1.625512957572937
5000,5000,-0.32014355063438416,0.15731115639209747
6000,6000,-0.31702494621276855,-1.164967656135559
7000,7000,0.689382791519165,0.8130092620849609
8000,8000,-0.16077545285224915,-0.5740454792976379
9000,9000,-0.7038918137550354,0.8411877155303955
10000,10000,0.835688054561615,-1.4974552392959595
11000,11000,-0.7405033707618713,2.4511728286743164
12000,12000,1.4527472257614136,-2.9657657146453857
13000,13000,-1.028822660446167,2.4992949962615967
14000,14000,-0.4301142990589142,-4.9559326171875
15000,15000,0.2973790168762207,5.514455318450928
16000,16000,0.4190247058868408,-6.996155738830566
17000,17000,-0.811306357383728,2.964672088623047
18000,18000,0.4420800507068634,-1.8452423810958862
19000,19000,-1.6655452251434326,3.855348587036133
20000,20000,3.2755303382873535,-3.779906988143921
21000,21000,-1.3264282941818237,5.3559675216674805
22000,22000,0.9042311906814575,-1.1514194011688232
23000,23000,-0.8943924903869629,0.49306923151016235
24000,24000,0.8776727318763733,-3.805196762084961
25000,25000,-0.6909127831459045,8.87496566772461
26000,26000,0.7750540971755981,-6.122665882110596
