Milliseconds,Timestamp,Magnitude,Angle
1000,1000,,
2000,2000,-0.6291720271110535,1.0306272506713867
3000,3000,-0.307529479265213,-0.5709698796272278
4000,4000,0.6371079087257385,1.3388797044754028
5000,5000,-0.7908244729042053,-0.28735965490341187
6000,6000,-0.4042794704437256,-0.8164556622505188
7000,7000,0.3825854957103729,0.9191373586654663
8000,8000,-0.4938271641731262,-0.4622988700866699
9000,9000,-0.7768911719322205,0.46889135241508484
10000,10000,0.7030556201934814,-2.350828170776367
11000,11000,-0.9092459678649902,3.6447203159332275
12000,12000,1.2858020067214966,-2.643319845199585
13000,13000,-1.3427172899246216,2.361445426940918
14000,14000,-0.6454033851623535,-5.632422924041748
15000,15000,0.27572810649871826,5.66780424118042
16000,16000,0.20322653651237488,-6.569171905517578
17000,17000,-0.7837588787078857,3.308476209640503
18000,18000,0.35673046112060547,-2.0480544567108154
19000,19000,-1.7564493417739868,4.313798427581787
20000,20000,3.18442702293396,-4.527376651763916
21000,21000,-1.0364959239959717,5.199741363525391
22000,22000,0.8691022396087646,-1.4119504690170288
23000,23000,-0.7154113054275513,0.6476792693138123
24000,24000,0.9505527019500732,-3.3905410766601562
25000,25000,-0.5299186110496521,8.270088195800781
26000,26000,1.133055329322815,-6.53286075592041
